file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\facet_basics\src\main\java\org\intellij\sdk\facet\DemoFacet.java,org.intellij.sdk.facet.DemoFacet,class,3,4,1,3,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\settings\src\main\java\org\intellij\sdk\settings\AppSettingsState.java,org.intellij.sdk.settings.AppSettingsState,class,6,8,2,6,3,1,0,3,3,1.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,2,0,2,0,0,0,0,0,0,13,2,0,0,0,0,3,0,2,0,2,0,0,0,0,31,16,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\action_basics\src\main\java\org\intellij\sdk\action\CustomDefaultActionGroup.java,org.intellij.sdk.action.CustomDefaultActionGroup,class,5,5,0,5,3,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,1,0,1,0,0,0,0,43,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\run_configuration\src\main\java\org\jetbrains\sdk\runConfiguration\DemoRunConfiguration.java,org.jetbrains.sdk.runConfiguration.DemoRunConfiguration,class,14,18,4,14,6,2,0,4,15,0.0,0.0,0.0,6,0,4,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,1,0,0,22,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\simple_language_plugin\src\main\java\org\intellij\sdk\language\psi\impl\SimplePsiImplUtil.java,org.intellij.sdk.language.psi.impl.SimplePsiImplUtil,class,7,9,2,7,10,1,0,10,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,56,9,0,4,0,0,2,0,6,0,6,1,1,0,0,24,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\comparing_string_references_inspection\src\main\java\org\intellij\sdk\codeInspection\ComparingStringReferencesInspection.java,org.intellij.sdk.codeInspection.ComparingStringReferencesInspection,class,8,9,1,8,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,63,1,0,0,0,0,0,0,1,0,1,0,1,1,0,75,16,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\project_model\src\main\java\org\intellij\sdk\project\model\ModificationAction.java,org.intellij.sdk.project.model.ModificationAction,class,10,10,0,10,11,2,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,6,0,1,0,0,8,0,8,2,0,0,0,25,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\max_opened_projects\src\main\java\org\intellij\sdk\maxOpenProjects\ProjectCountingService.java,org.intellij.sdk.maxOpenProjects.ProjectCountingService,class,1,3,2,1,5,1,0,0,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,15,1,0,0,0,0,0,3,2,0,2,1,0,0,0,43,17,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\action_basics\src\main\java\org\intellij\sdk\action\PopupDialogAction.java,org.intellij.sdk.action.PopupDialogAction,class,7,8,1,7,7,2,0,11,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,2,0,0,2,0,5,1,5,1,0,0,0,78,1,0
E:\Desktop\Courses\OOP\Week6\Project\intellij-sdk-docs\code_samples\editor_basics\src\main\java\org\intellij\sdk\editor\EditorHandlerIllustration.java,org.intellij.sdk.editor.EditorHandlerIllustration,class,8,8,0,8,5,2,0,13,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,2,0,0,0,0,7,0,6,1,0,0,0,48,1,0
